"TEST"	"Institution"	"Major"	"Count"
"AA"  "CSU"	"CIS & Support Services, Other"	"0"
"AB"  "CSU"	"CIS, General"	"223"
"AC"  "CSU"	"CIT Admin & Management"	"0"
"AD"  "CSU"	"Computer Engineering"	"304"
"AE"  "CSU"	"Computer Programming"	"0"
"AF"  "CSU"	"Computer Science"	"1828"
"AG"  "CSU"	"Computer Software & Media Applications"	"75"
"AH"  "CSU"	"Computer Systems Analysis"	"0"
"AI"  "CSU"	"Computer Systems Networking & Telecommunications"	"0"
"AJ"  "CSU"	"Information Science/Studies"	"0"
"AK"  "For-Profit"	"CIS & Support Services, Other"	"70"
"AL"  "For-Profit"	"CIS, General"	"448"
"AM"  "For-Profit"	"CIT Admin & Management"	"37"
"AN"  "For-Profit"	"Computer Engineering"	"18"
"AO"  "For-Profit"	"Computer Programming"	"15"
"AP"  "For-Profit"	"Computer Science"	"3"
"AQ"  "For-Profit"	"Computer Software & Media Applications"	"400"
"AR"  "For-Profit"	"Computer Systems Analysis"	"405"
"AT"  "For-Profit"	"Computer Systems Networking & Telecommunications"	"611"
"AU"  "For-Profit"	"Information Science/Studies"	"70"
"AV"  "Nonprofit"	"CIS & Support Services, Other"	"106"
"AW"  "Nonprofit"	"CIS, General"	"453"
"AX"  "Nonprofit"	"CIT Admin & Management"	"83"
"AY"  "Nonprofit"	"Computer Engineering"	"131"
"AZ"  "Nonprofit"	"Computer Programming"	"61"
"BA"  "Nonprofit"	"Computer Science"	"343"
"BB"  "Nonprofit"	"Computer Software & Media Applications"	"1"
"BC"  "Nonprofit"	"Computer Systems Analysis"	"0"
"BD"  "Nonprofit"	"Computer Systems Networking & Telecommunications"	"0"
"BE"  "Nonprofit"	"Information Science/Studies"	"106"
"BF"  "UC"	"CIS & Support Services, Other"	"33"
"BG"  "UC"	"CIS, General"	"599"
"BH"  "UC"	"CIT Admin & Management"	"0"
"BI"  "UC"	"Computer Engineering"	"550"
"BJ"  "UC"	"Computer Programming"	"0"
"BK"  "UC"	"Computer Science"	"687"
"BL"  "UC"	"Computer Software & Media Applications"	"0"
"BM"  "UC"	"Computer Systems Analysis"	"0"
"BN"  "UC"	"Computer Systems Networking & Telecommunications"	"0"
"BO"  "UC"	"Information Science/Studies"	"33"
